pmid,abstract,arm_num_gold,share_duration,shared_duration_yn,shared_dose,shared_dose_yn,shared_intervention_name,shared_intervention_name_yn,shared_intervention_type,shared_intervention_type_yn,shared_route,shared_route_yn,shared_sample_size,shared_sample_size_yn,shared_schedule,shared_schedule_yn,group_1_dose,group_1_duration,group_1_intervention_name,group_1_intervention_type,group_1_route,group_1_sample_size,group_1_schedule,group_2_dose,group_2_duration,group_2_intervention_name,group_2_intervention_type,group_2_route,group_2_sample_size,group_2_schedule,group_3_dose,group_3_duration,group_3_intervention_name,group_3_intervention_type,group_3_route,group_3_sample_size,group_3_schedule,group_4_dose,group_4_duration,group_4_intervention_name,group_4_intervention_type,group_4_route,group_4_sample_size,group_4_schedule,group_5_dose,group_5_duration,group_5_intervention_name,group_5_intervention_type,group_5_route,group_5_sample_size,group_5_schedule,group_6_dose,group_6_duration,group_6_intervention_name,group_6_intervention_type,group_6_route,group_6_sample_size,group_6_schedule,group_7_dose,group_7_duration,group_7_intervention_name,group_7_intervention_type,group_7_route,group_7_sample_size,group_7_schedule,group_8_dose,group_8_duration,group_8_intervention_name,group_8_intervention_type,group_8_route,group_8_sample_size,group_8_schedule,over_eight_groups,title
10930686,"The immunogenicity and efficacy of Russian live attenuated and US inactivated trivalent influenza vaccines administered alone or in three different combinations were evaluated in a randomized, placebo-controlled, double-blinded study of 614 elderly or chronically ill nursing home residents in St. Petersburg, Russia during the 1996-97 influenza season. Postvaccination serum antibody responses were more frequent among individuals administered the combination vaccines than among those vaccinated with live or inactivated vaccine alone. Only individuals who received live vaccine, alone or in combination with inactivated vaccine, achieved significant postvaccination increases in virus-specific nasal IgA. Efficacy in preventing laboratory-confirmed influenza in vaccinated versus nonvaccinated individuals was 67% (95%CI, 36-81%) for recipients of a combination of the vaccines compared with 51% (95%CI, -17-79%) for recipients of live vaccine alone and 50% (95%CI, -26-80%) for recipients of inactivated vaccine alone. These results suggest that administration of a combination of influenza vaccines may provide a strategy for improved influenza vaccination of elderly people.",six,,,,,,,Pharmacological,TRUE,,,614,TRUE,,,,,Russian live attenuated trivalent influenza vaccines,,,,,,,US inactivated trivalent influenza vaccines,,,,,,,placebo,,,,,,,first combinations of the two ,,,,,,,second combinations fo the two,,,,,,,third combinations of the two,,,,,,,,,,,,,,,,,,,,
11166751,"To determine whether variations in chloroprocaine placement in paracervical blocks influence effectiveness, whether chloroprocaine is superior to saline, and what factors influence pain perception.<br /><br />Eighty-two women undergoing first trimester aspiration abortions were randomized to receive 1% chloroprocaine or saline at 3-5-7-9 or 4-8 o'clock positions. Using a 0--10 scale, women rated anxiety, dysmenorrhea, and pain associated with laminaria insertion, paracervical block, and aspiration.<br /><br />All four groups were similar in medical and demographic characteristics. Injection position did not influence pain ratings, but women who received chloroprocaine had less pain than those who received saline (6.3+/-2.3 vs. 7.8+/-2.0, P=0.002). Paracervical pain and dysmenorrhea were independently associated with aspiration pain scores (respective regression coefficients 0.49 and 0.26, P<0.008).<br /><br />There is no advantage to using a four-site paracervical block over a two-site technique, but chloroprocaine is superior to saline. Paracervical block may not provide adequate anesthesia during first trimester abortion, especially for women with significant dysmenorrhea.",four,,,1%,TRUE,,,Pharmacological,TRUE,placement in paracervical blocks,TRUE,82,TRUE,,,,,chloroprocaine at 3-5-7-9 o'clock positions,,,,,,,chloroprocaine at 4-8 o'clock positions,,,,,,,saline at 3-5-7-9 o'clock positions,,,,,,,saline at 4-8 o'clock positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11379810,"Inhaled corticosteroids provide first-line treatment for asthma. An advance to improve potency was to produce new molecules with increased glucocorticoid receptor affinity (eg, fluticasone propionate [FP]). An alternative is to deliver more medication to both the large and small airway inflammation of asthma by using an extrafine aerosol (eg, beclomethasone dipropionate extrafine aerosol [BDP-extrafinel).<br /><br />To demonstrate clinical equivalence of BDP-extrafine (400 microg daily) and FP (400 microg daily) in symptomatic asthmatic patients over the course of 6 weeks.<br /><br />This was a double-blind, double-dummy, parallel-group, multicenter, 6-week study in adults with asthma taking conventional FP 100 to 250 microg daily or equivalent, and displaying signs/symptoms of active disease requiring additional therapy.<br /><br />Eighty-eight patients were randomized to BDP-extrafine (and FP-placebo) and 84 to FP (and BDP-placebo). There were no significant differences between treatments with respect to symptom control, as evidenced by mean change from baseline in percentage days without asthma symptoms/nights without sleep disturbance observed at weeks 1 to 2, 3 to 4, or 5 to 6. Mean changes from baseline in AM PEFR at weeks 5 to 6 for BDP-extrafine (19.0) and FP (30.5) were equivalent (P = 0.022 for equivalence). There were significant (P < 0.001) within-treatment-group differences in mean change from baseline in AM PEFR at weeks 1 to 2 for both treatments. There was no difference in the incidence of patients reporting at least one adverse event during the study (BDP-extrafine 41%; FP 37%). Mean percentage change from baseline for AM plasma cortisol at week 6 was + 17.7% for BDP-extrafine and +4.2% for FP (P = 0.066 for difference).<br /><br />BDP-extrafine and FP at doses of 400 microg daily provided equivalent asthma control in patients with symptomatic asthma and exhibited similar safety profiles.",two ,6 weeks,TRUE,400 microg,TRUE,,,Pharmacological,TRUE,,,,,daily,TRUE,,,beclomethasone dipropionate extrafine aerosol (BDP-extrafine),,,88,,,,fluticasone propionate (FP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12016180,"To assess the effectiveness of a teacher led intervention to improve teenagers' knowledge about emergency contraception.<br /><br />Cluster randomised controlled trial.<br /><br />24 mixed sex, state secondary schools in Avon, south west England.<br /><br />1974 boys and 1820 girls in year 10 (14-15 year olds).<br /><br />Teachers gave a single lesson on emergency contraception to year 10 pupils. The teachers had previously received in-service training on giving the lesson. The pupils were actively involved during the lesson.<br /><br />Questionnaires distributed to pupils at baseline and six months after the intervention assessed their knowledge of the correct time limits for hormonal emergency contraception and for use of the intrauterine device as emergency contraception, the proportion of pupils who were not virgins, the proportion who had used emergency contraception, and the pupils' intention to use emergency contraception in the future.<br /><br />The proportion of pupils knowing the correct time limits for both types of emergency contraception was significantly higher in the intervention group than in the control group at six months' follow up (hormonal contraception: proportion of boys 15.9% higher (95% confidence interval 6.5% to 25.3%), girls 20.4% (10.4% to 30.4%); intrauterine device used as emergency contraception: boys 4.2% (0.7% to 7.7%), girls 10.7% (0.4% to 21.0%). The number of pupils needed to be taught for one more pupil to know the correct time limits was six for boys and five for girls. The intervention and control groups did not differ in the proportion of pupils who were not virgins, in the proportion who had used emergency contraception, and in the proportion intending to use emergency contraception in the future.<br /><br />The intervention significantly improved the proportion of boys and girls knowing the correct time limits for both types of emergency contraception. The intervention did not change the pupils' sexual activity or use of emergency contraception.",two,,,,,,,Behavioral,TRUE,,,3794,TRUE,a single lesson,TRUE,,,a teacher led intervention to improve teenagers' knowledge about emergency contraception,,,,,,,control group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12069289,"Cervicocephalic arterial dissections (CCAD) are an increasingly recognized cause of ischemic stroke in young adults. Various treatments have been suggested but no controlled trial has ever been performed. Medical treatment has included anticoagulant or platelet antiaggregant therapy. Surgical correction has been proposed for selected patients who have failed medical therapy. Percutaneous balloon angioplasty and stenting have been increasingly used in some patients, although long-term results are unknown. The objective of the study was to review our recent experience with the management and outcome of extracranial CCAD. We identified 27 patients with extracranial CCAD who were evaluated, treated and/or followed by our Stroke Service from September 1995 to August 2001. Clinical presentation, diagnostic evaluation, management, and outcome were reviewed. There were 15 men (56%) and 12 women (44%) with mean ages of 38 and 43 years respectively. Diagnosis was made by cerebral angiography in 15 (56%) patients and by MRI/MRA only in 12 (44%) patients. Twenty-two patients had spontaneous and five had traumatic extracranial CCAD. Most common associated disorders were arterial hypertension (37%) and migraine (26%). One patient presented only with a painful post-ganglionic Horner syndrome, another patient with neck pain and post-ganglionic Horner syndrome, another patient solely with protracted unilateral headaches, three with transient ischemic attacks (TIA), and 21 with ischemic strokes. The internal carotid artery (ICA) was the most frequently involved vessel (63%), followed by the vertebral artery (30%, and multivessel involvement in two patients (7%). Eighteen patients received anticoagulant therapy and nine platelet anti-aggregants. Follow-up extended from 2 to 115 months, with a mean of 58 months. At the end of follow-up, 23 (85%) patients had either no disability or only minor sequelae (modified Rankin score: 0 to 1), and four (15%) patients had moderate limitations (modified Rankin score: 2 to 3). Two patients had a recurrent ischemic stroke, one unrelated to recurrent CCAD, and the other following percutaneous balloon angioplasty/stenting for treatment of a persistent vertebral artery pseudoaneurysm. Most CCAD involved the extracranial ICA. The clinical presentation is variable, most patients having an ischemic stroke or TIAs. The short- and long-term outcome are usually favorable with either anticoagulant or platelet antiaggregant therapy. A medical initial approach to the management of extracranial CCAD is recommended for most patients.",one?,58 months,,,,,,,,,,27,TRUE,,,,,Stroke Service for Cervicocephalic arterial dissections (CCAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12610193,"To determine whether (1) tailored nicotine patch therapy that is based on smoking rate can be carried out in a multisite oncology investigative group practice setting, (2) long-term use of bupropion reduces the rate of relapse to smoking in smokers who stop smoking with nicotine patch therapy, and (3) bupropion can initiate smoking abstinence among smokers who have failed to stop smoking after nicotine patch therapy. Participants and<br /><br />Fourteen North Central Cancer Treatment Group sites recruited generally healthy adult smokers from the general population for nicotine patch therapy and based the patch dosage on smoking rates. At completion of nicotine patch therapy, nonsmoking participants were eligible to be assigned to bupropion or placebo for 6 months (for relapse prevention). and smoking participants were eligible to be assigned to bupropion or placebo for 8 weeks of treatment.<br /><br />Of 578 subjects, 31% were abstinent from smoking at the end of nicotine patch therapy. Of those subjects not smoking at the end of nicotine patch therapy who entered the relapse prevention phase, 28% and 25% were not smoking at 6 months (the end of the medication phase) for bupropion and placebo, respectively (P =.73). For those still smoking at the end of nicotine patch therapy, 3.1% and 0.0% stopped smoking with bupropion or placebo, respectively (P =.12).<br /><br />Tailored nicotine patch therapy for the general population of smokers can be provided in a multisite oncology investigative group setting. Bupropion did not reduce relapse to smoking in smokers who stopped smoking with nicotine patch therapy. Bupropion did not initiate abstinence among smokers who failed to stop smoking with nicotine patch therapy.",four,,,,,Tailored nicotine patch,TRUE,Pharmacological,TRUE,,,578,TRUE,,,,,bupropion among smoker,,,,,,,bupropion among non-smoker,,,,,,,placebo among smoker,,,,,,,placebo among non-smoker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14718901,"A lack of suitable veins can cause serious problems when attempting to revascularise critically ischaemic legs. Prosthetic grafts have much worse patency in the femocrural position, despite the use of distal anastomotic cuffs. The use of adjuvant AV-fistula at the distal anastomosis should increase the graft flow above the thrombotic threshold velocity and thus increase prosthetic graft patency.<br /><br />The aim of the study was to evaluate the benefit of an adjuvant AV-fistula on the patency of a femorocrural PTFE bypass with a distal vein cuff.<br /><br />This prospective randomised multicentre trial was conducted in four centres. A total of 59 patients with critical leg ischaemia and no suitable veins for grafting were randomised to receive a femocrural PTFE bypass and distal vein cuff, with or without an adjuvant AV-fistula. Thirty-one patients were randomised to the AV-fistula group (AVFG) and 28 to the control group (CG). Six patients were lost to follow-up during the 2-year study time.<br /><br />There were six immediate occlusions in each treatment group, but half of these were saved by re-operation. The mean postoperative ankle-brachial index (ABI) was 0.85 in the AVFG and 0.94 in the CG. The primary and secondary patency rate at 2 years was 29 and 40% for the AVFG and 36 and 40% for the CG (NS). Leg salvage at 2 years was 65 and 68%, respectively (NS).<br /><br />Adjuvant AV-fistula does not improve the patency of a femorocrural PTFE bypass with a distal vein cuff.",two,,,,,a femocrural PTFE bypass and distal vein cuff,TRUE,Surgical,TRUE,,,,,,,,,an adjuvant AV-fistula,,,31,,,,control,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15641629,"The objective of this study was to compare the efficacy and safety of fluticasone propionate (FP) (44 microg)/salmeterol (21 microg) delivered as two inhalations twice daily via a single hydrofluoroalkane (HFA 134a) metered dose inhaler (MDI) (FSC) with that of placebo HFA 134a (PLA), fluticasone propionate 44 microg chlorofluorocarbon (CFC) alone and salmeterol 21 microg CFC alone (S) in patients (n=360) with persistent asthma previously treated with beta2-agonists (short- or long-acting) or inhaled corticosteroids (ICS). After 12 weeks of treatment, patients treated with FSC had a significantly greater increase (p < or = 0.006) in mean FEV1 AUC(bl) compared with PLA, FP, or S. At end point, mean change from baseline in morning predose FEV1 for FSC (0.58 L) was significantly (p < or = 0.004) greater than PLA (0.14 L), FP (0.36 L), and S (0.25 L). Patients treated with FSC also had a significantly higher probability of remaining in the study without being withdrawn due to worsening asthma (2%) compared with those in the PLA (29%) and S (25%) groups (p < 0.001). Finally, treatment with FSC resulted in significantly (p < or = 0.007) greater improvements in morning and evening peak expiratory flow, need for rescue albuterol, and asthma symptom scores compared with FP, S, and PLA. The safety profile of FSC was also similar to FP or S alone. Initial maintenance treatment of the two main components of asthma, inflammation, and smooth muscle dysfunction (e.g., bronchoconstriction), with FSC results in greater overall improvements in asthma control compared with treatment of either individual component alone.",four,12 weeks,TRUE,,,,,Pharmacological,TRUE,inhalation,TRUE,360,TRUE,two inhalations twice daily,TRUE,fluticasone propionate (FP) (44 microg)/salmeterol (21 microg),,fluticasone propionate and salmeterol (FSC) ,,,,,,,placebo (PLA),,,,,44 microg,,fluticasone propionate chlorofluorocarbon (FP),,,,,21 microg,,salmeterol CFC (S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15878495,"Qvar Autohaler efficacy on asthma control, assessed with E. Juniper asthma control questionnaire (ACQ), was compared with fluticasone and budesonide. An open randomized study, stratified (2:1) on the intake of long-acting beta2-mimetics (LAbeta2), was performed in patients with moderate to severe poorly controlled asthma (defined by at least one nocturnal discomfort in the last 5 days or a mean of 2 puffs of short-acting beta2-mimetics in the last 7 days or exercise dyspnea) despite treatment with beclomethasone < or = 1000 microg/day (or equivalent). 460 patients received Qvar Autohaler 800 microg/day (n = 149), fluticasone Diskus 1000 microg/day (n = 149) or budesonide Turbuhaler 1600 microg/day (n = 162) during 12 weeks. Asthma control improved in all groups, with no difference between groups. For patients treated with LAbeta2 (n = 286) a significantly greater improvement of the ACQ score was obtained with Qvar Autohaler versus fluticasone (1.0 +/- 1.0 vs. 0.6 +/- 0.9; P = 0.019), but not versus budesonide (0.9 +/- 0.9). Pulmonary function test improvements were similar in the 3 groups. The significant improvement in asthma control in patients receiving LAbeta2 suggests potential advantages for extrafine aerosols as part of anti-inflammatory treatment optimization.",three,12 weeks,TRUE,,,,,Pharmacological,TRUE,,,,,daily,TRUE,800 microg,,Qvar Autohaler ,,,149,,1000 microg,,fluticasone Diskus,,,149,,1600 microg/,,budesonide Turbuhaler,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15942511,"To evaluate the effect of adding inhaled budesonide (2 mg) to oral dexamethasone 0.15 mg/kg in children hospitalized with croup.<br /><br />Observation ward of a Tertiary Paediatric Hospital Emergency Department.<br /><br />Seventy-two children (age range 3 to 126 months) hospitalized with croup.<br /><br />Children randomized to receive either 2 mg of nebulized budesonide or placebo, with all children receiving a single oral dose of 0.15 mg/kg dexamethasone.<br /><br />Primary outcome was duration of hospital stay. Other measures included croup scores from 0 to 12 hours, use of nebulized epinephrine, duration of croup symptoms, duration of viral symptoms, and return to medical care for croup or for any other reason following discharge from hospital.<br /><br />Baseline characteristics for the 2 groups were similar. There was no difference in time to discharge for the 2 groups or for other outcome measures with a risk ratio of 1.3 (95% confidence intervals of 0.82 and 2.1).<br /><br />The addition of inhaled budesonide (2 mg) to oral dexamethasone (0.15 mg/kg) offers no advantage in the treatment of children hospitalized with croup.",two,,,,,a single oral dose of 0.15 mg/kg dexamethasone,TRUE,Pharmacological,TRUE,inhale,TRUE,72,TRUE,,,2 mg,,nebulized budesonide ,,,,,,,placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15977465,"Exercise may enhance the effect of alendronate on bone mineral density (BMD) and reduce chronic back pain in elderly women with osteoporosis. The aim of this study was to determine whether whole-body vibration exercise would enhance the effect of alendronate on lumbar BMD and bone turnover, and reduce chronic back pain in postmenopausal women with osteoporosis.<br /><br />Fifty post-menopausal women with osteoporosis, 55-88 years of age, were randomly divided into two groups of 25 patients each: one taking alendronate (5 mg daily, ALN) and one taking alendronate plus exercise (ALN+EX). Exercise consisted of whole-body vibration using a Galileo machine (Novotec, Pforzheim, Germany), at an intensity of 20 Hz, frequency once a week, and duration of exercise 4 minutes. The study lasted 12 months. Lumbar BMD was measured by dual energy X-ray absorptiometry (Hologic QDR 1500W). Urinary cross-linked N-terminal telopeptides of type I collagen (NTX) and serum alkaline phosphatase (ALP) levels were measured by enzyme-linked immunosorbent assay and standard laboratory techniques, respectively. Chronic back pain was evaluated by face scale score at baseline and every 6 months.<br /><br />There were no significant differences in baseline characteristics, including age, body mass index, years since menopause, lumbar BMD, urinary NTX and serum ALP levels, or face scale score between the two groups. The increase in lumbar BMD and the reduction in urinary NTX and serum ALP levels were similar in the ALN and ALN+EX groups. However, the reduction in chronic back pain was greater in the ALN+EX group than in the ALN group.<br /><br />The results of this study suggest that whole-body vibration exercise using a Galileo machine appears to be useful in reducing chronic back pain, probably by relaxing the back muscles in post-menopausal osteoporotic women treated with alendronate.",two,12 months,TRUE,,,alendronate 5 mg daily,TRUE,Physical,TRUE,,,,,,,20 Hz for 4 mins,,whole-body vibration exercise  ,,using a Galileo machine,25,once a week,,,control,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16116318,"Probiotics are widely used by patients with Crohn's disease (CD) in an attempt to improve their health, but few controlled studies have been done to evaluate the efficacy of these therapies. We conducted a randomized, placebo-controlled trial of the probiotic Lactobacillus rhamnosus strain GG (LGG) to see if the addition of LGG to standard therapy prolonged remission in children with CD. Concomitant medications allowed in the study included aminosalicylates, 6-mercaptopurine, azathioprine, and low-dose alternate day corticosteroids. Seventy-five children (age range, 5-21 yr) with CD in remission were randomized to either LGG (n=39) or placebo (n=36) and followed for up to 2 years. The median time to relapse was 9.8 months in the LGG group and 11.0 months in the placebo group (P=0.24); 31% (12/39) of patients in the LGG group developed a relapse compared with 6/36 (17%) of the placebo group (P=0.18). The LGG was well tolerated, with a side effect profile comparable with placebo. This study suggests that LGG does not prolong time to relapse in children with CD when given as an adjunct to standard therapy.",two,,,,,standard therapy,TRUE,Pharmacological,TRUE,,,,,,,,,probiotic Lactobacillus rhamnosus strain GG (LGG),,,39,,,,placebo,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16163369,"To assess, among premature infants with early respiratory distress syndrome (RDS), the effect of one dose of intratracheally administered surfactant followed by extubation to nasal continuous positive airway pressure (NCPAP) on subsequent mechanical ventilation (MV), when compared with NCPAP alone.<br /><br />Randomized, blinded trial in infants 29 to 35 weeks' gestation with mild-to-moderate RDS requiring supplemental oxygen and NCPAP. Infants were randomized to intubation, surfactant treatment, and immediate extubation (surfactant group N=52), or to no intervention (control group N=53). All infants were subsequently managed with NCPAP.<br /><br />Need for later MV was 70% in the control group and 50% in the surfactant group. Surfactant group subjects had lower inspired oxygen fraction (FiO(2)) after study intervention and were less likely to require subsequent surfactant. Overall surfactant use, duration of O(2) therapy, length of stay, and bronchopulmonary dysplasia were unaffected.<br /><br />Among premature infants with mild-to-moderate RDS, transient intubation for surfactant administration reduces later MV.<br /><br />Journal of Perinatology (2005) 25, 703-708. doi:10.1038/sj.jp.7211381; published online 15 September 2005.",two,,,,,nasal continuous positive airway pressure (NCPAP),TRUE,Pharmacological,TRUE,,,,,,,,,"intubation, surfactant treatment, and immediate extubation",,intratracheally administered,52,one dose,,,control,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16183776,"Although strength training (ST) enhances physical function in the elderly, little is known about the effect of training intensity on training and detraining adaptations in musculoskeletal fitness.<br /><br />To determine the effect of exercise intensity on strength, anaerobic power, and mobility of older men subjected to a 24 week ST protocol followed by prolonged detraining.<br /><br />Fifty two healthy but inactive older men (mean (SD) age 71.2 (4.1) years) were assigned to a control (n = 14), low intensity training (LIST; n = 18; 55% 1RM), or high intensity training (HIST; n = 20; 82% 1RM) group. They carried out a 24 week, whole body (10 exercises, two to three sets/exercise) ST programme followed by a 48 week detraining period. Upper and lower body strength, anaerobic power (Wingate testing), and mobility (timed up and go, walking, climbing stairs) were measured at baseline and immediately after training and during detraining.<br /><br />Although low intensity training improved (p<0.05) strength (42-66%), anaerobic power (10%), and mobility (5-7%), high intensity training elicited greater (p<0.05) gains (63-91% in strength, 17-25% in anaerobic power, 9-14% in mobility). All training induced gains in the LIST group had been abolished after four to eight months of detraining, whereas in the HIST group strength and mobility gains were maintained throughout detraining. However, anaerobic power had returned to baseline levels after four months of detraining in both groups.<br /><br />Higher intensity training protocols induce greater gains in strength, anaerobic power, and whole body physical function of older men. Moreover, higher intensity training may maintain the gains for more prolonged periods after training ceases.",three,24 weeks,TRUE,,,,,Physical,TRUE,,,,,,,"10 exercises, two to three sets/exercise",,low intensity training,,,18,,"10 exercises, two to three sets/exercise",,high intensity training,,,20,,,,control,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16724337,"We performed a prospective, randomized study of adult patients undergoing orthotopic liver transplantation, comparing hemodynamic and tissular oxygenation during reperfusion of the graft. In 30 patients, revascularization was started through the hepatic artery (i.e., initial arterial revascularization) and 10 minutes later the portal vein was unclamped; in 30 others, revascularization was started through the portal vein (i.e., initial portal revascularization) and 10 minutes later the hepatic artery was unclamped. The primary endpoints of the study were mean systemic arterial pressure and the gastric-end-tidal carbon dioxide partial pressure (PCO(2)) difference. The secondary endpoints were other hemodynamic and metabolic data. The pattern of the hemodynamic parameters and tissue oxygenation values during the dissection and anhepatic stages were similar in both groups At the first unclamping, initial portal revascularization produced higher values of mean pulmonary pressure (25 +/- 7 mm of Hg vs. 17 +/- 4 mm of Hg; P < 0.05) and wedge and central venous pressures. At the second unclamping, initial portal revascularization produced higher values of cardiac output and mean arterial pressure (87 +/- 15 mm of Hg vs. 79 +/- 15 mm of Hg; P < 0.05) and pulmonary blood pressure. Postreperfusion syndrome was present in 13 patients (42.5%) in the arterial group and in 11 patients (36%) in the portal group. During revascularization, the values of gastric and arterial pH decreased in both groups and recovered at the end of the procedure, but were more accentuated in the initial arterial revascularization group. In conclusion, we found that initial arterial revascularization of the graft increases pulmonary pressure less markedly, so it may be indicated for those patients with poor pulmonary and cardiac reserve. Nevertheless, for the remaining patients, initial portal revascularization offers more favorable hemodynamic and metabolic behavior, less inotropic drug use, and earlier normalization of lactate and pH values.<br /><br />(c) 2006 AASLD",two,,,,,,,Surgical,TRUE,,,,,,,,,"revascularization was started through the hepatic artery (i.e., initial arterial revascularization) and 10 minutes later the portal vein was unclamped;",,,30,,,,"revascularization was started through the portal vein (i.e., initial portal revascularization) and 10 minutes later the hepatic artery was unclamped.",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17109365,"To evaluate the influence of anesthetic technique on perioperative neurological and cardiopulmonary complication rates in patients undergoing carotid endarterectomy.<br /><br />186 patients with symptomatic internal carotid artery (ICA) stenosis > 70% or asymptomatic ICA stenosis > 80% were prospectively randomized for either locoregional (LA) or general anesthesia (GA).<br /><br />Neurological complication rates were similar in both groups (GA 2% vs. LA 2%). Cardiopulmonary complication rates were not significantly different (GA 4% vs LA 1%). There were no stroke-related deaths, but one patient from the GA group died from severe postoperative pneumonia. Thus, a significant difference in combined stroke/cardiopulmonary related death between the two groups (GA 1% vs LA 0%) could not be found. However, perioperative cardiopulmonary monitoring showed that significantly more patients operated under general anesthesia had hypertensive events, with systolic blood pressure values greater than 180 mmHg on postoperative day one. There were no differences in the number of postoperatively hypotensive episodes (systolic blood pressure values < 100 mmHg) between the two groups.<br /><br />Significant differences in the perioperative neurological and cardiopulmonary complication rates between general and locoregional anesthesia in patients undergoing carotid endarterectomy could not be observed.",two,,,,,,,Surgical,TRUE,,,186,TRUE,,,,,locoregional anesthesia (LA),,,,,,,general anesthesia (GA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17336652,"The burden of Plasmodium vivax infections has been underappreciated, especially in southeast Asia where chloroquine resistant strains have emerged. Our aim was to compare the safety and efficacy of dihydroartemisinin-piperaquine with that of artemether-lumefantrine in patients with uncomplicated malaria caused by multidrug-resistant P falciparum and P vivax.<br /><br />774 patients in southern Papua, Indonesia, with slide-confirmed malaria were randomly assigned to receive either artemether-lumefantrine or dihydroartemisinin-piperaquine and followed up for at least 42 days. The primary endpoint was the overall cumulative risk of parasitological failure at day 42 with a modified intention-to-treat analysis. This trial is registered with ClinicalTrials.gov, trial number 00157833.<br /><br />Of the 754 evaluable patients enrolled, 466 had infections with P falciparum, 175 with P vivax, and 113 with a mixture of both species. The overall risk of failure at day 42 was 43% (95% CI 38-48) for artemether-lumefantrine and 19% (14-23) for dihydroartemisinin-piperaquine (hazard ratio=3.0, 95% CI 2.2-4.1, p<0.0001). After correcting for reinfections, the risk of recrudescence of P falciparum was 4.4% (2.6-6.2) with no difference between regimens. Recurrence of vivax occurred in 38% (33-44) of patients given artemether-lumefantrine compared with 10% (6.9-14.0) given dihydroartemisinin-piperaquine (p<0.0001). At the end of the study, patients receiving dihydroartemisinin-piperaquine were 2.0 times (1.2-3.6) less likely to be anaemic and 6.6 times (2.8-16) less likely to carry vivax gametocytes than were those given artemether-lumefantrine.<br /><br />Both dihydroartemisinin-piperaquine and artemether-lumefantrine were safe and effective for the treatment of multidrug-resistant uncomplicated malaria. However, dihydroartemisinin-piperaquine provided greater post-treatment prophylaxis than did artemether-lumefantrine, reducing P falciparum reinfections and P vivax recurrences, the clinical public-health importance of which should not be ignored.",two,42 days,TRUE,,,,,Pharmacological,TRUE,,,774,TRUE,,,,,artemether-lumefantrine ,,,,,,,dihydroartemisinin-piperaquine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17347121,"Motivational interviewing (MI) with personalized feedback, particularly related to biological markers of risk or harm, has been found effective for alcohol use disorders, but has not been fully investigated in cocaine use disorders. A randomized, controlled pilot study evaluating the feasibility and preliminary efficacy of a brief MI intervention using EEG/ERP graphical feedback for cocaine abusers was conducted. Treatment-seeking cocaine abusers (N = 31) were randomly assigned to a two-session MI intervention or a minimal control condition. All participants received EEG assessments at intake and post-treatment. Results indicated that the MI intervention was feasible and the subjective impact of the EEG feedback was positive. Significant group differences in percentage of cocaine positive urine screens across the study were found, favoring the MI group; 84.9% for the control group and 62.6% in the MI group, p < .05. Further research must determine the specific conditions under which MI is most appropriate and efficacious.",two,,,,,,,Behavioral,TRUE,,,31,TRUE,,,,,a two-session Motivational interviewing (MI) intervention,,,,,,,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
